 Device manufacturer OUI prefixes (first 6 hex chars of MAC, no colons)
# Format: OUI|Manufacturer
# Samsung Electronics
8C79F5|Samsung
C8A6EF|Samsung
641B2F|Samsung
9C73B1|Samsung
388A06|Samsung
E8C913|Samsung
24F40A|Samsung
78C11D|Samsung
5CD33D|Samsung
000278|Samsung
0007AB|Samsung
002339|Samsung
08D42B|Samsung
10D38A|Samsung
14568E|Samsung
1816C9|Samsung
1C62B8|Samsung
2037BC|Samsung
24920E|Samsung
28987B|Samsung
2C4401|Samsung
3000F9|Samsung
340ABD|Samsung
3816D1|Samsung
3C5A37|Samsung
40D3AE|Samsung
44783E|Samsung
4C3C16|Samsung
50A4D0|Samsung
5440AD|Samsung
5C497D|Samsung
5CE8EB|Samsung
6077E2|Samsung
6455B1|Samsung
6C2F2C|Samsung
7079B3|Samsung
7825AD|Samsung
7C0BC6|Samsung
8455A5|Samsung
8879E4|Samsung
8C71F8|Samsung
9463D1|Samsung
9852B1|Samsung
9C6C15|Samsung
A0B4A5|Samsung
A4EBDC|Samsung
A8F274|Samsung
AC5F3E|Samsung
B0C559|Samsung
B47443|Samsung
B8D9CE|Samsung
BC14EF|Samsung
C08997|Samsung
C45006|Samsung
C8BA94|Samsung
CC07AB|Samsung
D022BE|Samsung
D4878B|Samsung
D8E0E1|Samsung
DC6672|Samsung
E0CBBC|Samsung
E4E0C5|Samsung
E89309|Samsung
EC1F72|Samsung
F025B7|Samsung
F40E22|Samsung
F8042E|Samsung
FC1910|Samsung
# Apple
000393|Apple
000A27|Apple
000A95|Apple
000D93|Apple
001124|Apple
001451|Apple
0016CB|Apple
0017F2|Apple
0019E3|Apple
001B63|Apple
001CB3|Apple
001D4F|Apple
001E52|Apple
001EC2|Apple
001F5B|Apple
001FF3|Apple
002241|Apple
002312|Apple
002332|Apple
00236C|Apple
0023DF|Apple
002436|Apple
002500|Apple
00254B|Apple
0025BC|Apple
002608|Apple
00264A|Apple
0026B0|Apple
0026BB|Apple
003065|Apple
003EE1|Apple
0050E4|Apple
040CCE|Apple
04154B|Apple
041552|Apple
041E64|Apple
042665|Apple
0434CF|Apple
04489A|Apple
044BED|Apple
04520D|Apple
0452F3|Apple
04D3CF|Apple
04DB56|Apple
04E536|Apple
04F13E|Apple
04F7E4|Apple
080007|Apple
083D88|Apple
0856C8|Apple
086698|Apple
086D41|Apple
087045|Apple
087402|Apple
08C8C6|Apple
08E689|Apple
08F4AB|Apple
0C1539|Apple
0C3021|Apple
0C3E9F|Apple
0C4DE9|Apple
0C5101|Apple
0C74C2|Apple
0C771A|Apple
0C8910|Apple
0CBC9F|Apple
0CD746|Apple
0CDFA4|Apple
0CF346|Apple
10066B|Apple
1040F3|Apple
1066CF|Apple
106F3F|Apple
1093E9|Apple
109ADD|Apple
10DDB1|Apple
10E2C9|Apple
10F1F2|Apple
10F96F|Apple
140299|Apple
14109F|Apple
141AA3|Apple
143559|Apple
144F8A|Apple
1499E2|Apple
14BD61|Apple
14C213|Apple
14F65A|Apple
180F76|Apple
181EB0|Apple
182032|Apple
182195|Apple
183451|Apple
184462|Apple
1848CA|Apple
185936|Apple
186590|Apple
188796|Apple
189EFC|Apple
18AF61|Apple
18AF8F|Apple
18E671|Apple
18EE69|Apple
18F1D8|Apple
18F643|Apple
201582|Apple
40921A|Apple
58AD12|Apple
60FDA6|Apple
68A593|Apple
787984|Apple
80A997|Apple
A82C89|Apple
B8011F|Apple
DC9396|Apple
F0EE7A|Apple
F433B7|Apple
FC8827|Apple
681A47|Apple
2849E9|Apple
78960D|Apple
801D39|Apple
CC722A|Apple
60DE18|Apple
348C5E|Apple
28575D|Apple
3410BE|Apple
801242|Apple
# Google
983A1F|Google
3C5AB4|Google
54609A|Google
94EB2C|Google
F4F5D8|Google
F4F5E8|Google
# Xiaomi
CCEB5E|Xiaomi
B8EA98|Xiaomi
F843EF|Xiaomi
A4FF9F|Xiaomi
2025CC|Xiaomi
2C0DCF|Xiaomi
50FE39|Xiaomi
CC033D|Xiaomi
709751|Xiaomi
98171A|Xiaomi
EC1055|Xiaomi
# OnePlus
ACC048|OnePlus
# Motorola
5016F4|Motorola
140589|Motorola
2036D0|Motorola
0C7165|Motorola
7CA53E|Motorola
2812D0|Motorola
# OPPO
E44097|OPPO
DCB4CA|OPPO
9497AE|OPPO
0CBD75|OPPO
D4BAFA|OPPO
E0426D|OPPO
# Huawei
E00630|Huawei
D8DAF1|Huawei
54443B|Huawei
5C7075|Huawei
782DAD|Huawei
D06158|Huawei
244BF1|Huawei
AC9073|Huawei
FC1D3A|Huawei
E4BEFB|Huawei
58F8D7|Huawei
D0C67F|Huawei
98F3F6|Huawei
C8E31D|Huawei
50ACB9|Huawei
C890F7|Huawei
1088D3|Huawei
145EBC|Huawei
68B5E3|Huawei
C46DD1|Huawei
34A137|Huawei
D0F815|Huawei
F0A0B1|Huawei
404F42|Huawei
# Honor
0CB983|Honor
2CB301|Honor
40D4F6|Honor
# Huawei Device
7066B9|Huawei
C4A1AE|Huawei
54DD21|Huawei
70EBA5|Huawei
10BC36|Huawei
B4F49B|Huawei
742435|Huawei
0C0ECB|Huawei
E880E7|Huawei
# vivo
B49D6B|vivo
AC401E|vivo
# Sony
AC800A|Sony
# LG (common prefixes)
001E75|LG
001FE2|LG
002483|LG
10F96F|LG
1C62B8|LG
2C54CF|LG
34FC6F|LG
40B0FA|LG
58A2B5|LG
5C70A3|LG
64899A|LG
6C5C14|LG
74A722|LG
78F882|LG
88C9D0|LG
8C3AE3|LG
A039F7|LG
A8922C|LG
B4B5AF|LG
BC62D2|LG
C49A02|LG
CC2D8C|LG
D0D0FD|LG
E892A4|LG
F80CF3|LG
F81A67|LG
# Nokia
90ECE3|Nokia
944FDB|Nokia
B851A9|Nokia
# ZTE
F01B24|ZTE
98EE8C|ZTE
90C710|ZTE
F42E48|ZTE
C4EBFF|ZTE
B85213|ZTE
F43A7B|ZTE
689E29|ZTE
887B2C|ZTE
647520|ZTE
D83139|ZTE
841623|ZTE
# TECNO
40A786|TECNO
D89999|TECNO
# Infinix
28BBB2|Infinix
# ==================
# LAPTOPS / PCs
# ==================
# Dell
000BDB|Dell
00123F|Dell
001C23|Dell
0019B9|Dell
001AA0|Dell
002564|Dell
14FEB5|Dell
180373|Dell
204747|Dell
4CD98F|Dell
54BF64|Dell
6C2B59|Dell
74867A|Dell
782BCB|Dell
801844|Dell
847BEB|Dell
989096|Dell
9840BB|Dell
A4BADB|Dell
A41F72|Dell
B44506|Dell
C8F750|Dell
CCC5E5|Dell
D08E79|Dell
D0431E|Dell
D4BED7|Dell
D481D7|Dell
DCF401|Dell
E0D848|Dell
04BF1B|Dell
185A58|Dell
98E743|Dell
00B0D0|Dell
00C04F|Dell
